"","Obsclass","PredClass","ProbNotexceed","ProbExceed","SiteInfo","DataSource","SiteID","outcomeClass"
"51977_WQP",0,"0",0.76,0.24,"51977_WQP","WQP",51977,0
"51989_WQP",1,"1",0.448,0.552,"51989_WQP","WQP",51989,1
"52028_WQP",0,"1",0.438,0.562,"52028_WQP","WQP",52028,3
"52038_WQP",1,"1",0.294,0.706,"52038_WQP","WQP",52038,1
"52043_WQP",1,"1",0.122,0.878,"52043_WQP","WQP",52043,1
"52050_WQP",0,"0",0.64,0.36,"52050_WQP","WQP",52050,0
"52051_WQP",0,"0",0.616,0.384,"52051_WQP","WQP",52051,0
"52060_WQP",0,"0",0.586,0.414,"52060_WQP","WQP",52060,0
"52077_WQP",0,"1",0.466,0.534,"52077_WQP","WQP",52077,3
"52102_WQP",1,"1",0.498,0.502,"52102_WQP","WQP",52102,1
"52131_WQP",0,"1",0.352,0.648,"52131_WQP","WQP",52131,3
"52139_WQP",0,"1",0.412,0.588,"52139_WQP","WQP",52139,3
"52145_WQP",0,"0",0.566,0.434,"52145_WQP","WQP",52145,0
"52161_WQP",0,"1",0.48,0.52,"52161_WQP","WQP",52161,3
"52163_WQP",1,"1",0.082,0.918,"52163_WQP","WQP",52163,1
"52166_WQP",0,"0",0.53,0.47,"52166_WQP","WQP",52166,0
"52228_WQP",0,"0",0.728,0.272,"52228_WQP","WQP",52228,0
"52315_WQP",0,"0",0.618,0.382,"52315_WQP","WQP",52315,0
"52364_WQP",0,"1",0.462,0.538,"52364_WQP","WQP",52364,3
"52419_WQP",0,"0",0.65,0.35,"52419_WQP","WQP",52419,0
"52565_WQP",0,"0",0.568,0.432,"52565_WQP","WQP",52565,0
"52665_WQP",0,"0",0.704,0.296,"52665_WQP","WQP",52665,0
"52669_WQP",1,"0",0.578,0.422,"52669_WQP","WQP",52669,2
"52757_WQP",0,"1",0.38,0.62,"52757_WQP","WQP",52757,3
"52774_WQP",1,"0",0.566,0.434,"52774_WQP","WQP",52774,2
"59242_WQP",1,"0",0.518,0.482,"59242_WQP","WQP",59242,2
"59246_WQP",0,"0",0.734,0.266,"59246_WQP","WQP",59246,0
"59257_WQP",0,"0",0.896,0.104,"59257_WQP","WQP",59257,0
"66249_WQP",0,"0",0.874,0.126,"66249_WQP","WQP",66249,0
"66424_WQP",1,"0",0.776,0.224,"66424_WQP","WQP",66424,2
"66533_WQP",1,"0",0.902,0.098,"66533_WQP","WQP",66533,2
"66615_WQP",0,"0",0.956,0.044,"66615_WQP","WQP",66615,0
"66644_WQP",0,"0",0.81,0.19,"66644_WQP","WQP",66644,0
"66854_WQP",0,"0",0.756,0.244,"66854_WQP","WQP",66854,0
"66921_WQP",1,"1",0.21,0.79,"66921_WQP","WQP",66921,1
"66947_WQP",0,"1",0.228,0.772,"66947_WQP","WQP",66947,3
"67122_WQP",0,"1",0.432,0.568,"67122_WQP","WQP",67122,3
"67327_WQP",1,"0",0.678,0.322,"67327_WQP","WQP",67327,2
"67383_WQP",0,"0",0.778,0.222,"67383_WQP","WQP",67383,0
"67398_WQP",0,"1",0.436,0.564,"67398_WQP","WQP",67398,3
"67495_WQP",0,"0",0.572,0.428,"67495_WQP","WQP",67495,0
"67522_WQP",0,"0",0.744,0.256,"67522_WQP","WQP",67522,0
"67536_WQP",1,"1",0.338,0.662,"67536_WQP","WQP",67536,1
"72620_WQP",0,"0",0.94,0.06,"72620_WQP","WQP",72620,0
"74941_WQP",0,"0",0.798,0.202,"74941_WQP","WQP",74941,0
"74997_WQP",0,"0",0.806,0.194,"74997_WQP","WQP",74997,0
"75151_WQP",0,"0",0.89,0.11,"75151_WQP","WQP",75151,0
"75187_WQP",0,"0",0.724,0.276,"75187_WQP","WQP",75187,0
"75340_WQP",0,"0",0.93,0.07,"75340_WQP","WQP",75340,0
"76324_WQP",0,"1",0.302,0.698,"76324_WQP","WQP",76324,3
"76411_WQP",0,"0",0.54,0.46,"76411_WQP","WQP",76411,0
"76432_WQP",1,"1",0.378,0.622,"76432_WQP","WQP",76432,1
"76511_WQP",0,"1",0.3,0.7,"76511_WQP","WQP",76511,3
"76551_WQP",1,"1",0.402,0.598,"76551_WQP","WQP",76551,1
"76676_WQP",0,"0",0.788,0.212,"76676_WQP","WQP",76676,0
"76804_WQP",1,"0",0.542,0.458,"76804_WQP","WQP",76804,2
"77244_WQP",0,"0",0.948,0.052,"77244_WQP","WQP",77244,0
"77274_WQP",1,"0",0.81,0.19,"77274_WQP","WQP",77274,2
"77300_WQP",0,"0",0.91,0.09,"77300_WQP","WQP",77300,0
"77544_WQP",0,"0",0.958,0.042,"77544_WQP","WQP",77544,0
"77551_WQP",0,"0",0.892,0.108,"77551_WQP","WQP",77551,0
"78245_WQP",0,"0",0.748,0.252,"78245_WQP","WQP",78245,0
"78608_WQP",1,"0",0.852,0.148,"78608_WQP","WQP",78608,2
"79875_WQP",0,"0",0.834,0.166,"79875_WQP","WQP",79875,0
"79892_WQP",0,"0",0.864,0.136,"79892_WQP","WQP",79892,0
"80004_WQP",1,"0",0.594,0.406,"80004_WQP","WQP",80004,2
