"welldpth","latitude","longitude","u_ppb","state"
NA,37.91,-108.1733,0.1,"CO"
NA,37.9103,-108.1717,0.19,"CO"
NA,37.8969,-108.1578,0.1,"CO"
NA,37.915,-108.1719,0.1,"CO"
NA,37.8661,-108.1583,0.3,"CO"
NA,37.845,-108.1692,0.1,"CO"
NA,37.8822,-108.055,0.1,"CO"
NA,37.8831,-108.0606,0.1,"CO"
NA,37.9086,-108.0581,0.1,"CO"
NA,37.9392,-108.0361,0.17,"CO"
NA,37.9428,-108.0347,0.37,"CO"
NA,37.9617,-108.0372,0.22,"CO"
NA,37.8817,-108.0072,0.3,"CO"
NA,37.7653,-108.1031,0.4,"CO"
NA,37.7708,-108.0936,0.16,"CO"
NA,37.7717,-108.0919,0.1,"CO"
NA,37.7814,-108.0892,0.24,"CO"
NA,37.7806,-108.0864,0.16,"CO"
NA,37.7875,-108.0653,0.1,"CO"
NA,37.7992,-108.0631,0.22,"CO"
NA,37.8153,-108.0606,0.1,"CO"
NA,37.8158,-108.0619,0.16,"CO"
NA,37.8311,-108.0428,0.22,"CO"
NA,37.4797,-108.0606,0.16,"CO"
NA,37.5375,-108.1342,0.1,"CO"
NA,37.5392,-108.1347,0.15,"CO"
NA,37.5528,-108.1569,0.25,"CO"
NA,37.3864,-108.4383,0.22,"CO"
NA,37.5225,-108.1764,1,"CO"
NA,37.5239,-108.2225,0.1,"CO"
NA,37.5294,-108.2328,0.1,"CO"
NA,37.4447,-108.3744,0.56,"CO"
NA,37.4372,-108.3528,0.1,"CO"
NA,37.5047,-108.2719,0.1,"CO"
NA,37.4911,-108.21,0.47,"CO"
NA,37.4739,-108.2494,0.1,"CO"
NA,37.4744,-108.2869,0.1,"CO"
NA,37.4758,-108.2878,0.1,"CO"
NA,37.4147,-108.3039,0.1,"CO"
NA,37.4553,-108.2258,0.44,"CO"
NA,39.2311,-108.8661,10.13,"CO"
NA,37.4272,-108.2669,0.1,"CO"
NA,37.4278,-108.2678,0.1,"CO"
NA,37.5683,-108.3336,0.44,"CO"
NA,37.5497,-108.3336,0.1,"CO"
NA,37.4572,-108.1433,0.21,"CO"
NA,37.4561,-108.145,0.37,"CO"
NA,37.46,-108.1583,0.29,"CO"
NA,37.4647,-108.1856,0.54,"CO"
NA,37.4478,-108.2161,0.1,"CO"
