"well_id","U","As","Fl_combined"
1945,1.1023588385,0.4829984915,NA
1946,17,1,NA
1948,9,4,NA
1953,4,1,NA
1954,9,1,NA
1959,6.12605359375,0.467476940333333,NA
1964,NA,NA,NA
1965,NA,NA,NA
1966,6,1,NA
1967,NA,NA,NA
1968,NA,NA,NA
1969,NA,NA,NA
1970,0.477547339333333,0.8302240285,NA
1972,0.472428596333333,0.391779443666667,NA
1973,NA,NA,NA
1974,NA,NA,NA
1976,NA,NA,NA
1977,NA,1,NA
1978,NA,NA,NA
1979,NA,NA,NA
1980,NA,NA,NA
1981,NA,NA,NA
1982,NA,NA,NA
1983,NA,NA,NA
1984,NA,NA,NA
1985,NA,NA,NA
1986,NA,NA,NA
1987,1,1,NA
1988,NA,NA,NA
1989,1,1,NA
1990,NA,NA,NA
1991,NA,NA,NA
1992,NA,NA,NA
1993,1,1,NA
1994,NA,NA,NA
1995,0.56022184525,0.54228368,NA
1996,NA,NA,NA
1997,5,NA,NA
1998,NA,NA,NA
1999,1,2,NA
2003,1,1,NA
2009,0.717880378,0.659739818,NA
2011,0.59904806875,0.641961055,NA
2023,1,1,NA
2024,1,1,NA
2027,1,1,NA
2028,0.77994782075,1.722039746,NA
2029,0.6647012724,2.07138670825,NA
2033,2.27508144133333,0.388807189333333,NA
2063,NA,NA,0.533333333333333
2064,NA,NA,3.9
2067,NA,29,1.33333333333333
2070,3.09046584266667,1.0176162625,NA
2080,11,4.7,0.169
2082,NA,NA,1.5
2083,NA,NA,NA
2084,NA,NA,1.25
2085,NA,NA,0.6
2095,NA,NA,0.8
2096,0.434888323333333,1.9214108065,NA
2099,NA,NA,0.6
2100,NA,NA,0.3
2101,13.66703457,2.581926291,NA
2112,NA,NA,3.7
2122,2.5,1,NA
2129,NA,NA,0.3
2130,NA,NA,NA
2131,NA,NA,1.3
2152,NA,NA,1.7
2204,NA,NA,0.7
2209,NA,NA,1.1
2210,NA,NA,1.2
2211,NA,40,0.9
2213,NA,NA,0.5
2263,NA,NA,4.8
2286,NA,NA,0.6
2400,0.01,5.66666666666667,1.46666666666667
2476,NA,NA,0.3
2509,350,1,0.95
2554,0.035,1,0.4
2560,1.2,NA,NA
2561,NA,NA,1.5
2562,13,NA,NA
2563,NA,NA,0.7
2564,NA,NA,NA
2565,0.72,NA,NA
2566,NA,NA,0.45
2568,67,48.6666666666667,2.98
2572,1.49444067191667,9.487657383,NA
2582,0.52,NA,0.4
