"","OID_","CharacteristicName","ResultSampleFractionText","ResultMeasureValue","SiteID","y_pred","C1","C2","C3"
"297",1200,"As","Dissolved",0,269989,"C1",0.86311012506485,0.117733150720596,0.0191567577421665
"305",300,"As","Dissolved",5.5,46706,"C1",0.551424324512482,0.376682728528976,0.0718929097056389
"317",1023,"As","Dissolved",0,51401,"C1",0.972137093544006,0.0115684447810054,0.0162944365292788
"321",1817,"As","Dissolved",12,255817,"C1",0.779600143432617,0.0339850895106792,0.186414793133736
"322",1369,"As","Dissolved",2,259423,"C1",0.962252676486969,0.0167236924171448,0.0210235882550478
"323",1322,"As","Dissolved",70,52688,"C3",0.207822799682617,0.053039226680994,0.739137947559357
"325",844,"As","Dissolved",10.2,8404,"C3",0.0571676082909107,0.142038434743881,0.800793945789337
"330",1575,"As","Dissolved",1,247275,"C1",0.985280454158783,0.00745139690116048,0.00726808235049248
"338",1055,"As","Dissolved",2,269582,"C1",0.965923368930817,0.0211616028100252,0.012915032915771
"342",1608,"As","Dissolved",0,247311,"C1",0.984588205814362,0.00630690110847354,0.0091048963367939
"343",938,"As","Dissolved",0,51132,"C1",0.869660258293152,0.0734990313649178,0.056840755045414
"344",1678,"As","Dissolved",0,247416,"C1",0.988323032855988,0.00506878132000566,0.00660826126113534
"361",879,"As","Dissolved",47.6,50885,"C3",0.0819746032357216,0.0236048325896263,0.894420623779297
"362",1324,"As","Dissolved",50,52693,"C3",0.222814917564392,0.057349544018507,0.719835579395294
"363",1647,"As","Dissolved",1,247359,"C1",0.987329959869385,0.00651323655620217,0.00615685386583209
"366",327,"As","Dissolved",5.1,47149,"C1",0.971511125564575,0.0131547516211867,0.0153340771794319
"368",1057,"As","Dissolved",3,51581,"C1",0.893596529960632,0.0240487605333328,0.0823547467589378
"386",1825,"As","Dissolved",5.9,258630,"C1",0.904370784759521,0.0606748461723328,0.034954309463501
"390",1646,"As","Dissolved",77,261461,"C2",0.158077970147133,0.479055911302567,0.362866133451462
"398",1865,"As","Dissolved",24.5,152934,"C3",0.126877442002296,0.163269624114037,0.709852993488312
"400",1268,"As","Dissolved",21,270313,"C1",0.698940098285675,0.0508795082569122,0.25018036365509
"402",1614,"As","Dissolved",0,246473,"C1",0.72439694404602,0.0376501493155956,0.237952888011932
"405",1588,"As","Dissolved",14.6,264861,"C3",0.39604052901268,0.122660003602505,0.481299430131912
"409",1754,"As","Dissolved",0,262205,"C1",0.572158753871918,0.370282858610153,0.0575584471225739
"412",1403,"As","Dissolved",1,247034,"C1",0.98732054233551,0.00654031289741397,0.00613919366151094
"413",1868,"As","Dissolved",10.3,152940,"C3",0.134741872549057,0.174413070082664,0.690845012664795
"416",1255,"As","Dissolved",0,270263,"C1",0.982214272022247,0.00887282099574804,0.00891290232539177
"417",1742,"As","Dissolved",3,257928,"C1",0.924972891807556,0.0476114228367805,0.0274157002568245
"418",358,"As","Dissolved",0,266554,"C1",0.93710732460022,0.0134847471490502,0.0494079329073429
"419",1421,"As","Dissolved",6.5,264455,"C3",0.0377247408032417,0.0270019322633743,0.935273349285126
"421",1481,"As","Dissolved",14.8,264682,"C1",0.692104637622833,0.0863172933459282,0.221578061580658
"422",1849,"As","Dissolved",4,150013,"C1",0.944613039493561,0.0155526697635651,0.0398342572152615
"424",1686,"As","Dissolved",2.8,265146,"C1",0.872373282909393,0.0758655816316605,0.0517611727118492
"425",1835,"As","Dissolved",2,253162,"C1",0.54834109544754,0.0471673645079136,0.404491513967514
"427",1346,"As","Dissolved",0,246911,"C1",0.947178840637207,0.0304834339767694,0.022337693721056
"430",1507,"As","Dissolved",1,246437,"C1",0.988956391811371,0.00509500224143267,0.00594865623861551
"443",1559,"As","Dissolved",0,246456,"C1",0.984464466571808,0.00670394999906421,0.00883156526833773
"448",1337,"As","Dissolved",29.4,259417,"C1",0.973423779010773,0.0125363618135452,0.0140398247167468
"451",481,"As","Dissolved",20,8167,"C1",0.82657915353775,0.13954022526741,0.0338806733489037
"454",614,"As","Dissolved",0,49660,"C1",0.982345402240753,0.00967402849346399,0.00798050314188004
"456",1486,"As","Dissolved",14,247153,"C1",0.986315786838531,0.00729553261771798,0.00638865679502487
"458",1166,"As","Dissolved",0,52093,"C1",0.949835300445557,0.0156741943210363,0.0344904735684395
"460",1940,"As","Dissolved",15.7,152760,"C3",0.340312838554382,0.157701894640923,0.501985251903534
"463",1954,"As","Dissolved",1.9,152832,"C1",0.946653783321381,0.0287058725953102,0.0246403012424707
"474",1459,"As","Dissolved",10.6,264612,"C3",0.11226899176836,0.3200364112854,0.567694544792175
"475",470,"As","Dissolved",0,48999,"C1",0.944457769393921,0.0400043725967407,0.0155378617346287
"479",1753,"As","Dissolved",0,262204,"C1",0.884897232055664,0.0692296847701073,0.0458731353282928
"483",2,"As","Dissolved",6,38036,"C1",0.966861367225647,0.0144626852124929,0.0186759792268276
"493",920,"As","Dissolved",2,268992,"C1",0.975848138332367,0.0116665307432413,0.0124853458255529
"496",379,"As","Dissolved",1.2,48252,"C1",0.960207045078278,0.0212082769721746,0.018584705889225
"502",1013,"As","Dissolved",4.8,51353,"C1",0.877028465270996,0.0222861915826797,0.100685328245163
"503",176,"As","Dissolved",1,271188,"C1",0.974149167537689,0.00954161025583744,0.0163091830909252
"505",323,"As","Dissolved",0.79,47117,"C1",0.964872717857361,0.0195948481559753,0.0155324684455991
"508",1938,"As","Dissolved",3.9,152754,"C1",0.926475048065186,0.0303101073950529,0.0432147979736328
"512",799,"As","Dissolved",0.23,266501,"C1",0.969697773456573,0.00887694209814072,0.0214252565056086
"518",1032,"As","Dissolved",6,269520,"C1",0.860183000564575,0.0439969636499882,0.095820002257824
"527",178,"As","Dissolved",10,43659,"C3",0.343144357204437,0.0841628313064575,0.572692811489105
"530",529,"As","Dissolved",5,49253,"C1",0.814485669136047,0.140360668301582,0.0451536141335964
"531",419,"As","Dissolved",7.2,8127,"C1",0.605873346328735,0.333941102027893,0.0601855665445328
"539",1836,"As","Dissolved",0,149987,"C1",0.968209207057953,0.0106776021420956,0.0211131628602743
"545",828,"As","Dissolved",6.3,50614,"C3",0.0917496830224991,0.325124025344849,0.583126306533813
"548",1336,"As","Dissolved",1,246341,"C1",0.93819785118103,0.0252420548349619,0.0365600697696209
"553",543,"As","Dissolved",6.6,154750,"C1",0.947447240352631,0.0272451993077993,0.0253075920045376
"567",1920,"As","Dissolved",0.71,262646,"C1",0.646112024784088,0.316938132047653,0.0369498580694199
"589",1400,"As","Dissolved",1,247030,"C1",0.987885475158691,0.00611706683412194,0.00599746778607368
"593",1502,"As","Dissolved",0,246433,"C1",0.988495826721191,0.00520406104624271,0.00630004703998566
"594",107,"As","Dissolved",2,7728,"C1",0.961856484413147,0.0180974714457989,0.0200460627675056
"600",1789,"As","Dissolved",6,258412,"C1",0.755087614059448,0.177108734846115,0.0678036287426949
"620",1282,"As","Dissolved",4,52434,"C1",0.978822529315948,0.00874398183077574,0.0124334534630179
"630",138,"As","Dissolved",19,7782,"C1",0.939258933067322,0.0178308021277189,0.0429102927446365
"638",622,"As","Dissolved",1,49686,"C1",0.964753270149231,0.0216756854206324,0.0135710425674915
"640",923,"As","Dissolved",4,51065,"C1",0.917900681495667,0.0205330569297075,0.0615662783384323
"665",1529,"As","Dissolved",0,247196,"C1",0.989237368106842,0.005494499579072,0.00526811880990863
"670",386,"As","Dissolved",3,48402,"C1",0.768369197845459,0.205450773239136,0.0261799991130829
"677",264,"As","Dissolved",0,45928,"C1",0.97728031873703,0.0122151775285602,0.010504518635571
"678",1585,"As","Dissolved",9.9,264850,"C3",0.37810206413269,0.114384479820728,0.507513463497162
"692",1998,"As","Dissolved",0,151251,"C1",0.918320119380951,0.0600958652794361,0.0215839799493551
"696",722,"As","Dissolved",2.5,8324,"C3",0.185101047158241,0.0694649294018745,0.745433986186981
"697",1398,"As","Dissolved",1,246395,"C1",0.944028913974762,0.0150587800890207,0.0409123115241528
"706",232,"As","Dissolved",0,271289,"C1",0.923412799835205,0.0182971563190222,0.0582899786531925
"709",912,"As","Dissolved",3,268974,"C1",0.976923763751984,0.00997603591531515,0.0131001407280564
"710",402,"As","Dissolved",4,48630,"C1",0.657321751117706,0.319664269685745,0.0230140015482903
"714",1735,"As","Dissolved",3.3,257638,"C1",0.921542227268219,0.036458145827055,0.0419996902346611
"719",1573,"As","Dissolved",18.1,264834,"C1",0.662401854991913,0.218221709132195,0.119376458227634
"726",1105,"As","Dissolved",6,269692,"C2",0.197982728481293,0.432046949863434,0.369970351457596
"735",1568,"As","Dissolved",0,247266,"C1",0.989301979541779,0.0058624935336411,0.00483550364151597
"748",211,"As","Dissolved",7,44335,"C1",0.47316837310791,0.38075864315033,0.146073013544083
"751",1217,"As","Dissolved",3,270052,"C1",0.965748012065887,0.0163946431130171,0.017857288941741
"753",188,"As","Dissolved",5,43870,"C1",0.823911488056183,0.0586733818054199,0.117415107786655
"758",1041,"As","Dissolved",0.8,51461,"C1",0.893530786037445,0.0363814122974873,0.070087842643261
"772",1196,"As","Dissolved",5.6,269985,"C1",0.904582977294922,0.079754188656807,0.0156628061085939
"774",455,"As","Dissolved",1.8,8158,"C1",0.969858944416046,0.0152635676786304,0.0148774608969688
"779",1162,"As","Dissolved",2,269820,"C1",0.950749278068542,0.0256527252495289,0.0235980749130249
"783",1748,"As","Dissolved",3.3,258072,"C3",0.189753904938698,0.310887843370438,0.499358236789703
"788",68,"As","Dissolved",0,41508,"C1",0.929423630237579,0.0310822930186987,0.0394940786063671
"793",1126,"As","Dissolved",2,269740,"C1",0.941962778568268,0.0135771976783872,0.0444600060582161
"796",768,"As","Dissolved",2.9,8344,"C1",0.91445255279541,0.0599519312381744,0.0255954805761576
"799",1581,"As","Dissolved",19.4,264848,"C1",0.43728756904602,0.128983229398727,0.433729261159897
"808",1641,"As","Dissolved",11.1,261451,"C2",0.255495399236679,0.494019031524658,0.250485628843307
"814",1467,"As","Dissolved",5.5,264635,"C1",0.416909396648407,0.285798490047455,0.297292143106461
"817",606,"As","Dissolved",8.1,154856,"C3",0.101662345230579,0.04867222905159,0.849665403366089
"819",538,"As","Dissolved",7,49273,"C2",0.113284908235073,0.84737366437912,0.0393414236605167
"820",1654,"As","Dissolved",0,247368,"C1",0.973192632198334,0.0104953004047275,0.016312051564455
"833",1602,"As","Dissolved",0,247307,"C1",0.987381994724274,0.00531903654336929,0.00729894172400236
"834",1427,"As","Dissolved",1,247064,"C1",0.98774129152298,0.00614823587238789,0.00611047213897109
"843",160,"As","Dissolved",7,43477,"C1",0.930486738681793,0.0301264021545649,0.0393868535757065
"861",1442,"As","Dissolved",8.9,264546,"C3",0.039908904582262,0.0717333555221558,0.888357758522034
"863",1469,"As","Dissolved",1,259522,"C1",0.978136599063873,0.011175480671227,0.0106879342347383
"868",1932,"As","Dissolved",39.7,152751,"C3",0.197610899806023,0.0401671156287193,0.762221992015839
