"welldpth","latitude","longitude","u_dn_ppb","u_fl_ppb","state"
NA,39.0191,-105.3566,NA,2.32,"CO"
NA,39.0191,-105.3566,NA,3.27,"CO"
NA,39.0191,-105.3566,NA,3.75,"CO"
NA,39.0191,-105.3566,NA,3.06,"CO"
NA,39.0191,-105.3566,NA,2.47,"CO"
NA,38.5689,-106.1656,NA,3.15,"CO"
NA,38.5978,-106.1967,NA,3.89,"CO"
NA,38.6167,-106.2075,NA,3.96,"CO"
NA,38.7711,-106.4114,NA,0.67,"CO"
NA,38.7825,-106.2625,NA,1.6,"CO"
NA,38.6558,-106.1303,NA,0.21,"CO"
NA,38.6567,-106.1333,NA,0.25,"CO"
NA,38.6797,-106.3661,NA,-0.1,"CO"
NA,38.8697,-106.3653,NA,0.14,"CO"
NA,38.8678,-106.3697,NA,0.13,"CO"
NA,38.8472,-106.3831,NA,0.11,"CO"
NA,38.8489,-106.3833,NA,0.16,"CO"
NA,39.0206,-108.9969,NA,2.09,"CO"
NA,38.7894,-106.4303,NA,0.38,"CO"
NA,38.7906,-106.4272,NA,1.03,"CO"
NA,38.7878,-106.4244,NA,0.65,"CO"
NA,38.7764,-106.4275,NA,0.72,"CO"
98,41.002,-102.182,NA,40.78,"CO"
NA,38.7819,-106.4397,NA,0.47,"CO"
NA,38.7994,-106.4322,NA,-0.1,"CO"
NA,38.8019,-106.4414,NA,-0.1,"CO"
NA,38.8036,-106.4561,NA,0.15,"CO"
NA,38.4383,-106.4078,NA,0.66,"CO"
NA,38.9372,-106.6575,NA,1.14,"CO"
NA,39.2714,-108.8825,22.8,22.8,"CO"
NA,39.2508,-108.8892,NA,3.68,"CO"
NA,38.9136,-106.5361,NA,-0.1,"CO"
NA,38.9139,-106.5372,NA,-0.1,"CO"
NA,38.6761,-106.5219,NA,0.4,"CO"
NA,38.6767,-106.5211,NA,0.2,"CO"
NA,38.6958,-106.6131,NA,2.51,"CO"
NA,38.7025,-106.6097,NA,4.17,"CO"
NA,38.7106,-106.6033,NA,2.51,"CO"
NA,38.72,-106.6031,NA,2.34,"CO"
NA,39.2553,-108.7669,NA,5.89,"CO"
NA,36.7136,-109.8625,39.93,39.93,"AZ"
NA,39.2064,-108.9111,NA,10.15,"CO"
NA,36.3728,-108.4822,NA,9.93,"NM"
NA,36.1169,-103.8022,NA,0.1,"NM"
NA,39.2256,-108.89,NA,9.27,"CO"
NA,39.2325,-108.0047,NA,13.09,"CO"
NA,39.2214,-108.0183,NA,11.33,"CO"
NA,39.0072,-108.3092,NA,0.08,"CO"
NA,39.0208,-108.215,NA,0.02,"CO"
NA,39.0989,-108.1464,NA,0.36,"CO"
NA,39.1839,-108.0439,NA,0.63,"CO"
NA,39.1628,-108.0308,NA,10.39,"CO"
NA,39.1306,-108.0319,NA,0.76,"CO"
NA,39.1956,-108.0161,NA,12.44,"CO"
NA,39.1892,-108.0611,NA,1.57,"CO"
NA,39.1708,-108.0939,NA,14.71,"CO"
NA,39.8894,-108.18,NA,0.46,"CO"
NA,39.6694,-108.1881,NA,1.57,"CO"
NA,38.2722,-108.3953,NA,0.89,"CO"
NA,37.0133,-108.8528,NA,0.52,"CO"
NA,37.2017,-108.0775,NA,0.34,"CO"
NA,37.1972,-108.0886,17.5,17.5,"CO"
NA,39.0647,-109.5881,NA,4.17,"UT"
NA,37.2572,-108.0322,NA,0.67,"CO"
NA,38.2864,-108.4508,NA,1.41,"CO"
NA,39.2375,-108.7283,NA,10.26,"CO"
NA,39.2114,-108.6611,NA,7.61,"CO"
NA,37.2897,-108.04,NA,0.37,"CO"
NA,37.2156,-108.3369,NA,6.16,"CO"
NA,37.2169,-108.3392,NA,2.8,"CO"
NA,37.1786,-108.3694,NA,3.27,"CO"
NA,37.0753,-108.1653,11.2,11.2,"CO"
NA,37.06,-108.1739,9.9,9.9,"CO"
NA,37.0597,-108.1719,9.8,9.8,"CO"
NA,37.3322,-108.0583,NA,0.17,"CO"
NA,37.0136,-108.1964,NA,1.53,"CO"
NA,37.9803,-108.3403,NA,2.03,"CO"
NA,37.0125,-108.1992,NA,1.49,"CO"
NA,37.0639,-108.6575,NA,0.21,"CO"
NA,37.3025,-108.1906,NA,3.4,"CO"
NA,37.3014,-108.1872,NA,5.27,"CO"
NA,37.3206,-108.1547,NA,0.49,"CO"
NA,37.1003,-108.4633,NA,0.7,"CO"
NA,37.3292,-108.1167,NA,0.38,"CO"
NA,37.3275,-108.1164,NA,0.53,"CO"
NA,37.0675,-108.3183,NA,0.1,"CO"
NA,37.0969,-108.2631,7.8,7.8,"CO"
NA,37.0906,-108.2397,16.5,16.5,"CO"
NA,37.1189,-108.1981,NA,2.13,"CO"
NA,37.1164,-108.1964,NA,1.3,"CO"
NA,37,-108.1881,NA,2.26,"CO"
NA,37.1031,-108.0958,13.2,13.2,"CO"
NA,37.1036,-108.0942,5.1,5.1,"CO"
NA,37.0747,-108.1333,13,13,"CO"
NA,37.0756,-108.1375,12.5,12.5,"CO"
NA,37.0906,-108.1456,14.2,14.2,"CO"
NA,37.1522,-108.2567,15.1,15.1,"CO"
NA,37.1464,-108.215,NA,1.65,"CO"
