"","well_id","Alkalinity","As","B","Bicarbonate","Ca","Carbonate","Fe","pH","Si","SO4-","SpecificConductance","U"
"448",999,NA,0.832224316,NA,NA,32.773886855,NA,NA,NA,NA,NA,NA,0.50338064
"449",1001,NA,1.886373897,NA,NA,18.60749788,NA,NA,NA,NA,NA,NA,0.583136432
"450",1002,NA,0.085240545,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9145039805
"451",1010,NA,1.8882313695,NA,NA,18.31558448,NA,NA,NA,NA,NA,NA,0.6882792465
"452",1011,NA,0.8978401675,NA,NA,2.484092937,NA,NA,NA,NA,NA,NA,0.5916156735
"453",1013,NA,1.2644551705,NA,NA,16.59577375,NA,NA,NA,NA,NA,NA,0.315511607
"454",1016,NA,1.31991712,NA,NA,21.6739636,NA,NA,NA,NA,NA,NA,1.0925441695
"455",1025,NA,0.784969324,NA,NA,14.8539032,NA,NA,NA,NA,NA,NA,0.537521915
"456",1028,NA,1.1728352785,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.550461804
"457",1032,NA,0.934979667,NA,NA,19.5735396,NA,NA,NA,NA,NA,NA,0.3952364635
"458",1033,NA,0.84624827,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.934678121
"459",1035,NA,1.463305707,NA,NA,26.51052667,NA,NA,NA,NA,NA,NA,0.54082813
"460",1041,NA,1.0883266365,NA,NA,14.28373137,NA,NA,NA,NA,NA,NA,0.2482099165
"461",1042,NA,0.6605822785,NA,NA,11.253127475,NA,NA,NA,NA,NA,NA,5.9124203845
"462",1050,NA,NA,NA,128,30,0,NA,NA,14,11,240,NA
"463",1080,NA,3.5836681815,NA,NA,37.22821813,NA,NA,NA,NA,NA,NA,0.439523314
"464",1083,NA,NA,NA,220,47,0,NA,NA,17,12,373,NA
"465",1084,NA,NA,NA,190,NA,0,NA,NA,NA,NA,341,NA
"466",1085,NA,NA,NA,170,NA,8,NA,NA,NA,NA,320,NA
"467",1092,NA,1.2373631535,NA,NA,22.41932783,NA,NA,NA,NA,NA,NA,0.768744021
"468",1093,NA,0.56901918,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.400936025
"469",1094,NA,1.3396182535,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.460746855
"470",1099,NA,1.195519124,NA,NA,27.30649937,NA,NA,NA,NA,NA,NA,0.9115399375
"471",1100,NA,0.537784228,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.521168019
"472",1102,NA,0.394728516,NA,NA,30.66844308,NA,NA,NA,NA,NA,NA,0.682786515
"473",1111,NA,1.750349898,NA,NA,27.8997912,NA,NA,NA,NA,NA,NA,0.3414539815
"474",1117,NA,1.5777509475,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.676924405
