"","i","Train_Error","Train_SD","Test_Error","Test_SD"
"61",61,0.914175257731959,0.00146929822822053,0.757057057057057,0.00246721872750074
"62",62,0.916365979381443,0.000705828038022119,0.755555555555556,0.0049115397098487
"63",63,0.917396907216495,0.00263309494094108,0.761261261261261,0.00280905209217267
"64",64,0.915077319587629,0.00306987867256999,0.756756756756757,0.00437759151264663
"65",65,0.915721649484536,0.00234096676863207,0.753453453453453,0.00388654027193536
"66",66,0.915335051546392,0.00211748411406636,0.756456456456456,0.00246721872750073
"67",67,0.916752577319588,0.00105874205703318,0.756456456456456,0.00761188700038234
"68",68,0.915721649484536,0.00289590271317579,0.758558558558559,0.00222708663276145
"69",69,0.916752577319588,0.00289590271317583,0.758558558558559,0.00222708663276145
"70",70,0.916494845360825,0.00168020680546459,0.755855855855856,0.00227713977298843
"71",71,0.917525773195876,0.00164272535876056,0.757657657657658,0.00134298377027016
"72",72,0.916237113402062,0.0022780501971216,0.75975975975976,0.0035213331530206
"73",73,0.913788659793814,0.00336041361092919,0.757357357357357,0.00345671604601241
"74",74,0.916623711340206,0.00297370638124083,0.756756756756757,0.00561810418434525
"75",75,0.915721649484536,0.00251206039814663,0.760960960960961,0.00195771844000082
"76",76,0.915721649484536,0.0022039473423308,0.757657657657658,0.00547585060925238
"77",77,0.913530927835052,0.00166780658576607,0.757357357357357,0.00419346547860926
"78",78,0.914690721649485,0.00286708704398027,0.755255255255255,0.00367791252670147
"79",79,0.914432989690722,0.0022039473423308,0.757357357357357,0.00361609446810579
"80",80,0.914819587628866,0.00210765814868506,0.757657657657658,0.00624523553846407
"81",81,0.916365979381443,0.000955695681326757,0.755555555555556,0.00246721872750069
"82",82,0.915335051546392,0.00125603019907332,0.758258258258258,0.00437759151264664
"83",83,0.917525773195876,0.00291732768625563,0.755555555555556,0.00467639985056977
"84",84,0.91610824742268,0.0022039473423308,0.757957957957958,0.00491153970984867
"85",85,0.916365979381443,0.00178794290277211,0.756756756756757,0.00679833719079386
"86",86,0.91430412371134,0.00257731958762886,0.75975975975976,0.00600600600600597
"87",87,0.91520618556701,0.00125603019907332,0.756156156156156,0.00557783051681886
"88",88,0.916494845360825,0.00243655546407074,0.755555555555556,0.00585393053742279
"89",89,0.915592783505155,0.00101877501938414,0.757957957957958,0.00416649757522872
"90",90,0.91520618556701,0.00161725520592926,0.757957957957958,0.00288819580505576
"91",91,0.914819587628866,0.00139687392968291,0.754654654654655,0.00840036079921882
"92",92,0.915850515463917,0.00225975230885955,0.761861861861862,0.00328962497000104
"93",93,0.916237113402062,0.00284528378425513,0.757657657657658,0.00251249257217439
"94",94,0.916881443298969,0.00269542534321544,0.755855855855856,0.00651035537197557
"95",95,0.918298969072165,0.00195434934125043,0.758558558558558,0.00195771844000082
"96",96,0.913659793814433,0.00261728041386467,0.759159159159159,0.00547585060925236
"97",97,0.915592783505155,0.00265664022269178,0.755555555555556,0.00195771844000073
"98",98,0.915850515463917,0.00264096669225766,0.757357357357357,0.00345671604601242
"99",99,0.915463917525773,0.0022039473423308,0.755555555555556,0.00622715956556386
"100",100,0.917912371134021,0.00148335881871408,0.758858858858859,0.00311357978278199
"101",101,0.915721649484536,0.000840103402732297,0.757957957957958,0.00268596754054027
"102",102,0.913917525773196,0.00133611091194121,0.758858858858859,0.00227713977298849
"103",103,0.91610824742268,0.00178794290277211,0.757357357357357,0.00587315532000242
"104",104,0.915077319587629,0.00178794290277211,0.756756756756757,0.00382809272792251
