+ Fold01: shrinkage=0.004, interaction.depth= 2, n.minobsinnode=8, n.trees=500 
Iter   TrainDeviance   ValidDeviance   StepSize   Improve
   260        0.3549            -nan     0.0060   -0.0004
   280        0.3385            -nan     0.0060   -0.0006
   300        0.3238            -nan     0.0060   -0.0009
   320        0.3103            -nan     0.0060   -0.0005
   340        0.2977            -nan     0.0060   -0.0009
   360        0.2861            -nan     0.0060   -0.0007
   380        0.2747            -nan     0.0060   -0.0007
   400        0.2640            -nan     0.0060   -0.0005
   420        0.2545            -nan     0.0060   -0.0007
   440        0.2450            -nan     0.0060   -0.0005
   460        0.2362            -nan     0.0060   -0.0007
   480        0.2284            -nan     0.0060   -0.0006
   500        0.2204            -nan     0.0060   -0.0007

- Fold01: shrinkage=0.006, interaction.depth=10, n.minobsinnode=8, n.trees=500 
+ Fold01: shrinkage=0.006, interaction.depth=12, n.minobsinnode=8, n.trees=500 
Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        1.0986            -nan     0.0060    0.0162
     2        1.0883            -nan     0.0060    0.0143
     3        1.0787            -nan     0.0060    0.0141
     4        1.0693            -nan     0.0060    0.0133
     5        1.0598            -nan     0.0060    0.0145
     6        1.0503            -nan     0.0060    0.0144
     7        1.0410            -nan     0.0060    0.0136
     8        1.0321            -nan     0.0060    0.0116
     9        1.0237            -nan     0.0060    0.0122
    10        1.0151            -nan     0.0060    0.0136
    20        0.9336            -nan     0.0060    0.0098
    40        0.8056            -nan     0.0060    0.0069
    60        0.7082            -nan     0.0060    0.0041
    80        0.6325            -nan     0.0060    0.0037
   100        0.5709            -nan     0.0060    0.0018
   120        0.5210            -nan     0.0060    0.0015
   140        0.4800            -nan     0.0060    0.0007
   160        0.4458            -nan     0.0060    0.0006
   180        0.4164            -nan     0.0060    0.0005
   200        0.3906            -nan     0.0060   -0.0001
   220        0.3678            -nan     0.0060   -0.0003
   240        0.3472            -nan     0.0060   -0.0007
   260        0.3287            -nan     0.0060   -0.0010
   280        0.3125            -nan     0.0060   -0.0006
   300        0.2968            -nan     0.0060   -0.0003
   320        0.2832            -nan     0.0060   -0.0007
   340        0.2696            -nan     0.0060   -0.0005
   360        0.2570            -nan     0.0060   -0.0007
   380        0.2458            -nan     0.0060   -0.0008
   400        0.2354            -nan     0.0060   -0.0007
   420        0.2257            -nan     0.0060   -0.0007
   440        0.2165            -nan     0.0060   -0.0005
   460        0.2078            -nan     0.0060   -0.0004
   480        0.1993            -nan     0.0060   -0.0006
   500        0.1918            -nan     0.0060   -0.0004

- Fold01: shrinkage=0.006, interaction.depth=12, n.minobsinnode=8, n.trees=500 
+ Fold01: shrinkage=0.006, interaction.depth=14, n.minobsinnode=8, n.trees=500 
Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        1.0986            -nan     0.0060    0.0152
     2        1.0880            -nan     0.0060    0.0162
     3        1.0776            -nan     0.0060    0.0142
     4        1.0677            -nan     0.0060    0.0149
     5        1.0581            -nan     0.0060    0.0136
     6        1.0486            -nan     0.0060    0.0129
     7        1.0392            -nan     0.0060    0.0122
     8        1.0303            -nan     0.0060    0.0127
     9        1.0211            -nan     0.0060    0.0140
    10        1.0120            -nan     0.0060    0.0118
    20        0.9306            -nan     0.0060    0.0099
    40        0.8004            -nan     0.0060    0.0072
    60        0.7020            -nan     0.0060    0.0048
    80        0.6261            -nan     0.0060    0.0038
   100        0.5638            -nan     0.0060    0.0023
   120        0.5137            -nan     0.0060    0.0013
   140        0.4710            -nan     0.0060    0.0007
   160        0.4349            -nan     0.0060    0.0005
   180        0.4032            -nan     0.0060    0.0007
   200        0.3757            -nan     0.0060    0.0001
   220        0.3517            -nan     0.0060   -0.0001
   240        0.3307            -nan     0.0060   -0.0001
   260        0.3116            -nan     0.0060   -0.0005
   280        0.2942            -nan     0.0060   -0.0004
   300        0.2788            -nan     0.0060   -0.0006
   320        0.2648            -nan     0.0060   -0.0006
   340        0.2513            -nan     0.0060   -0.0004
   360        0.2389            -nan     0.0060   -0.0004
   380        0.2277            -nan     0.0060   -0.0006
   400        0.2170            -nan     0.0060   -0.0007
   420        0.2073            -nan     0.0060   -0.0006
   440        0.1978            -nan     0.0060   -0.0004
   460        0.1894            -nan     0.0060   -0.0007
   480        0.1809            -nan     0.0060   -0.0008
   500        0.1733            -nan     0.0060   -0.0004

- Fold01: shrinkage=0.006, interaction.depth=14, n.minobsinnode=8, n.trees=500 
+ Fold01: shrinkage=0.006, interaction.depth=16, n.minobsinnode=8, n.trees=500 
Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        1.0986            -nan     0.0060    0.0164
     2        1.0881            -nan     0.0060    0.0155
     3        1.0779            -nan     0.0060    0.0150
     4        1.0679            -nan     0.0060    0.0143
     5        1.0584            -nan     0.0060    0.0146
     6        1.0488            -nan     0.0060    0.0137
     7        1.0393            -nan     0.0060    0.0138
